group,Hex,Length,Weight
sjscarf2,725B,75,5
sjscarf2,7C95,77,5.2
sjscarf2,76BB,77,5.7
sjscarf2,828A,77,5.4
sjscarf2,74D6,76,5.1
sjscarf2,82D5,76,5.1
sjscarf2,76C9,74,4.7
sjscarf2,766D,77,4.9
sjscarf2,7EB5,75,5.2
sjscarf2,76DA,77,5.4
sjscarf2,769D,77,5.3
sjscarf2,72ED,77,5.2
sjscarf2,76D1,82,6
sjscarf2,7BD5,77,5.5
sjscarf2,7945,75,5
sjscarf2,7AAE,76,5.2
sjscarf2,73A9,77,4.4
sjscarf2,7659,75,4.5
sjscarf2,82A4,78,5.1
sjscarf2,728D,76,5.1
sjscarf2,79AA,76,5.2
sjscarf2,7365,77,5.7
sjscarf2,7B75,75,4.2
sjscarf2,76A7,76,4.2
sjscarf2,7555,74,4.2
sjscarf2,7B25,74,4.2
sjscarf2,7235,74,4.4
sjscarf2,7571,79,5.5
sjscarf2,762D,75,4.2
